iter	Passed	Remaining
0	134	134623
1	135	67847
2	136	45498
3	137	34357
4	139	27664
5	140	23199
6	141	20053
7	142	17693
8	143	15836
9	144	14350
10	146	13142
11	147	12122
12	148	11272
13	149	10535
14	150	9891
15	151	9329
16	152	8828
17	153	8381
18	155	8023
19	156	7666
20	157	7341
21	158	7049
22	159	6787
23	160	6544
24	162	6320
25	163	6112
26	164	5922
27	165	5743
28	166	5575
29	167	5415
30	168	5274
31	170	5150
32	171	5025
33	172	4904
34	173	4791
35	174	4683
36	175	4579
37	177	4482
38	178	4391
39	179	4310
40	181	4237
41	182	4157
42	183	4092
43	185	4022
44	186	3950
45	187	3883
46	188	3818
47	189	3754
48	190	3693
49	191	3635
50	192	3579
51	193	3524
52	194	3474
53	195	3422
54	196	3374
55	197	3329
56	198	3290
57	199	3247
58	201	3209
59	202	3168
60	203	3130
61	204	3091
62	205	3053
63	206	3019
64	207	2986
65	209	2957
66	210	2927
67	211	2895
68	212	2870
69	214	2848
70	215	2824
71	217	2799
72	218	2771
73	219	2743
74	220	2715
75	221	2689
76	222	2663
77	223	2637
78	224	2611
79	224	2586
80	225	2562
81	227	2548
82	228	2529
83	230	2508
84	231	2488
85	232	2466
86	232	2444
87	233	2424
88	234	2404
89	235	2385
90	236	2365
91	237	2347
92	238	2329
93	239	2311
94	240	2294
95	242	2284
96	243	2269
97	244	2252
98	245	2236
99	246	2220
100	247	2204
101	248	2189
102	249	2173
103	250	2159
104	251	2144
105	252	2130
106	253	2116
107	254	2104
108	256	2093
109	257	2084
110	258	2070
111	259	2058
112	260	2045
113	261	2032
114	262	2020
115	263	2008
116	264	1995
117	265	1983
118	266	1972
119	267	1962
120	268	1952
121	269	1940
122	270	1931
123	272	1922
124	273	1912
125	274	1903
126	275	1891
127	276	1882
128	277	1872
129	278	1862
130	279	1852
131	280	1843
132	281	1833
133	282	1825
134	283	1816
135	284	1807
136	286	1803
137	287	1796
138	288	1788
139	289	1779
140	290	1772
141	291	1762
142	292	1754
143	293	1746
144	294	1739
145	296	1732
146	297	1726
147	298	1719
148	300	1714
149	301	1709
150	302	1702
151	303	1695
152	305	1689
153	306	1682
154	307	1675
155	308	1668
156	310	1664
157	311	1658
158	312	1651
159	313	1645
